Task Name	Bucket	Goal	Status	Priority	Assigned To	Created By	Created Date	Due date	Start date	Is Recurring	Late	Completed Date	Completed By	Completed Checklist Items	Checklist Items	Labels	Notes
QM - Repairables	Inventory & Materials		Not started	Medium	Steve Valentine	Steve Valentine	2026-05-07	2026-07-31	2026-05-07		false					Short Term (0-3 Months)	Gain understanding of outstanding KPI's  - closing out open PO, see email from Jared / Craig
Budget Allocation	Operational Planning		In progress	Important	Steve Valentine	Steve Valentine	2026-04-28	2026-06-30	2026-04-01		false					Short Term (0-3 Months)	"Create Budget Proposal for Warehouse"
Currently fall under AMG - Transitioning to Fixed Plant, need to identify where costs sit, approval process and potential for ownership change"
MC > MLO Position Description	Communication & Governance		In progress	Medium	Steve Valentine	Steve Valentine	2026-04-28	2026-06-18	2026-03-31		false			2/2	Planned Maintenance to be included JT;Add Core Returns / Rotables to role JT	Short Term (0-3 Months)	"Create MLO Position Description (Ex MC)
Work on Banding Structure with people Services"
Capital Register FY28 	Warehouse Infrastructure		In progress	Medium	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-04-27	2027-02-28	2026-05-01		false			0/1	Relocation GAM Warehouse to W2	Medium Term (3-12 Months)	Task created to capture FY28 Capital Requests
Process Standardisation	Operational Planning		In progress	Medium	Steve Valentine	Steve Valentine	2026-04-06	2026-09-30	2026-04-06		false			1/6	MLO / MC Roles and Responsibilities;Cyclic Counts - Bene / AMG / CSI;TBF Process - AMG / Fixed Plant / Processing / Other;Picking / Packing / Delivering Processing;Introduce Shipped from DC status;Picking / Packing / Delivering AMG	Medium Term (3-12 Months)	"Overarching task to list areas that require standardisation
Separate tasks will be created from this checklist
Add any ideas / options that we want to review"
Airfreight Optimisation	Operational Planning		In progress	Important	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-06-30	2026-03-19		false			2/5	Publish with Doc Approvals;Confirm Zebra printer arrived at MRA WDG;Meet SupV at MRA WDG;Share wtih Stakeholders;Create  Draft Procedure	Medium Term (3-12 Months)	Analyse airfreight usage, define approval thresholds, SLA pickup's / deliveries
Parts Availability Awareness 	Stakeholder Engagement		In progress	Medium	Steve Valentine	Steve Valentine	2026-03-31	2026-09-30	2026-03-19		false					Short Term (0-3 Months)	Establish joint expediting forums with procurement, logistics, and operations to resolve critical supply constraints - weekly/shut based stakeholders
Maintenance Meetings	Stakeholder Engagement		In progress	Medium	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-09-30	2026-03-19		false					Medium Term (3-12 Months)	Hold regular meetings with maintenance teams to review upcoming work, critical parts, and performance issues.
Daily Delivery Service	Stakeholder Engagement		Not started	Medium	Steve Valentine	Steve Valentine	2026-03-31	2027-03-31	2026-03-19		false					Long Term (1-3Years)	Review delivery schedules, optimise routes, and confirm daily cut-off times to improve service reliability.
Service Level Agreements	Stakeholder Engagement		Not started	Medium	Steve Valentine	Steve Valentine	2026-03-31	2026-12-31	2026-03-19		false					Medium Term (3-12 Months)	Define and formalise SLAs with key stakeholders covering service expectations, escalation paths, and performance measures.
WH Project Planner - Education	Operational Planning		In progress	Medium	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2027-06-30	2026-03-19		false			6/16	Emmanuel Agyare ;Justin Peters;Steve Gilbert;Dean Nortman;Dylan Strang;Ben Chao;Carissa Tipene;Aaron hamilton;Scott McKimmie;Kenn Enanno;Josh Carceller ;Steve Valentine;Kea Kingi;Jon Boden  ;Malcolm Coyle;Agus Puta	Short Term (0-3 Months)	Training required for the team members to ensure good utilisation of there WH Planner - checklist added for team members who have received 1:1 sessions
Parts Availability	Performance Measurement		Not started	Medium	Steve Valentine	Steve Valentine	2026-03-31	2027-01-31	2026-03-19		false					Long Term (1-3Years)	Improve reporting on critical parts availability, backorders, and shortages to support maintenance planning.
Decarb Targets	Performance Measurement		Not started	Low	Steve Valentine	Steve Valentine	2026-03-31	2027-01-30	2026-03-19		false					On Hold	Establish baseline emissions data, set reduction targets, and track initiatives such as energy efficiency and freight optimisation.
Warehouse KPI's	Performance Measurement		Not started	Important	Steve Valentine	Steve Valentine	2026-03-31	2026-12-30	2026-03-19		false					Medium Term (3-12 Months)	Define a standard set of warehouse KPIs (Inventory accuracy, productivity, safety) and review performance monthly.
Superintendent Dashboard	Performance Measurement		Not started	Low	Steve Valentine	Steve Valentine	2026-03-31	2026-11-30	2026-03-19		false					Long Term (1-3Years)	Develop a real-time dashboard consolidating safety,  service, and inventory metrics for superintendent-level visibility.
Backfreight Visibility	Communication & Governance		Not started	Important	Steve Valentine	Steve Valentine	2026-03-31	2026-06-30	2026-03-19		false					Medium Term (3-12 Months)	Maintenance teams unable to view back freight receivals at destination - Create process flow / RACI - Dashboard for visibility
Expediting	Communication & Governance		Not started	Medium	Steve Valentine	Steve Valentine	2026-03-31	2026-12-31	2026-03-19		false					Medium Term (3-12 Months)	Replenishment PO's Processing Maintenance concerned "Weir" critical items
Establish RACI - Fixed Plant / AMG Standardisation	Communication & Governance		In progress	Medium	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-07-31	2026-03-19		false					Medium Term (3-12 Months)	Establish process flow / RACI - share with Processing Maintenance and others (alignment opportunity)
Load / Unload Checklist	Communication & Governance		In progress	Medium	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-09-30	2026-03-19		false					Medium Term (3-12 Months)	Introduce a standardised load/unload checklist covering inbound / outbound trailer load / unload, damage checks, and system confirmations; audit compliance supervisor signoff.
Working Alone Procedure	Communication & Governance		In progress	Urgent	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-06-30	2026-03-19		false					Medium Term (3-12 Months)	Review / Develop Working Alone Procedure - Bene Stores / Remote Yards
Safeday Reporting	Communication & Governance		In progress	Low	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-06-30	2026-03-19		false			2/2	Create new team ;Check reporting - data not syncing correctly	Short Term (0-3 Months)	Reinforce Safe Day expectations, Make visible during PS , Review relatable incidents and near misses weekly RTW.
Org Chart Updates	Communication & Governance		In progress	Urgent	Steve Valentine	Steve Valentine	2026-03-31	2026-06-30	2026-03-19		false					Short Term (0-3 Months)	Update current organisational charts with clear reporting lines and publish updates following any change.
SupT Collaboration Session	Communication & Governance		Not started	Low	Steve Valentine	Steve Valentine	2026-03-31	2026-12-31	2026-03-19		false					Medium Term (3-12 Months)	Schedule regular cross-site collaboration sessions to share best practice, risks, and improvement initiatives.
Warehouse TARP	Workforce Capability		In progress	Important	Steve Valentine	Steve Valentine	2026-03-31	2026-07-16	2026-03-19		false					Medium Term (3-12 Months)	Develop and communicate a Trigger Action Response Plan for workforce risks, including absenteeism, fatigue, and skills shortages.
Diversity Targets	Workforce Capability		Not started	Low	Steve Valentine	Steve Valentine	2026-03-31	2026-12-31	2026-03-19		false					On Hold	Set measurable diversity and inclusion targets, track recruitment and promotion metrics, and embed inclusive hiring practices.
Individual Performance Goals	Workforce Capability		In progress	Important	Steve Valentine	Steve Valentine	2026-03-31	2026-07-31	2026-03-19		false					Medium Term (3-12 Months)	Align individual KPIs to warehouse and business objectives, embed into performance reviews, and track quarterly progress.
Capability Mapping	Workforce Capability		In progress	Important	Steve Valentine	Steve Valentine	2026-03-31	2026-07-31	2026-03-19		false					Medium Term (3-12 Months)	Assess current workforce skills against role requirements, identify gaps, and develop targeted training and succession plans.
Standard ERP	Inventory & Materials		Not started	Low	Steve Valentine	Steve Valentine	2026-03-31	2026-12-31	2026-03-19		false					Long Term (1-3Years)	FTL, Coupa, Pronto, Bustle utilised in stores - time consuming lack of linked capabilities
AI Integration	Inventory & Materials		Not started	Low	Steve Valentine	Steve Valentine	2026-03-31	2026-10-12	2026-03-19		false					Medium Term (3-12 Months)	Deploy a self-service bot integrated with Cupa/Bustle to provide real-time status updates on parts location, delivery, and ETA.
Expediting Improvement	Inventory & Materials		Not started	Important	Steve Valentine	Steve Valentine	2026-03-31	2026-11-16	2026-03-19		false					Medium Term (3-12 Months)	improve visibility of expedite requests, align maintenance, procurement and logistics on response times.
QM Reporting	Inventory & Materials		In progress	Medium	Steve Valentine	Steve Valentine	2026-03-31	2026-06-30	2026-03-19		false					Medium Term (3-12 Months)	Standardise quality reason codes, improve data capture at point of inspection, and review QM reports monthly to identify systemic issues.
DC Labelling	Inventory & Materials		In progress	Important	Steve Valentine	Steve Valentine	2026-03-31	2026-06-30	2026-03-19		false					Short Term (0-3 Months)	Enforce mandatory Coupa reference capture at receipting at DC and introduce standard labels with barcodes linked to PO and material master data.
Returns Process	Inventory & Materials		In progress	Medium	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-06-30	2026-03-19		false					Short Term (0-3 Months)	Review, share, train and roll out
Green Zone - Helmet Free	Warehouse Infrastructure		In progress	Medium	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-06-30	2026-03-19		false					Short Term (0-3 Months)	Obvious heat stress when wearing helmet in Admin Area of Warehouse
Multiple Warehouse / Yards	Warehouse Infrastructure		In progress	Medium	Steve Valentine	Steve Valentine	2026-03-31	2026-11-16	2026-03-19		false			0/3	Reloc GAM to W2?;Additional domes on site?;Obtain Quotes for new / reloc TBG	Long Term (1-3Years)	Implement centralised storage facility compete with break down only counter service and  customer delivery schedule
Alternate Stores AMG	Warehouse Infrastructure		In progress	Medium	Steve Valentine	Steve Valentine	2026-03-31	2026-11-16	2026-03-19		false					Medium Term (3-12 Months)	Utilisation slow/fast moving materials - Leadership visibility, Shut laydowns, Fencing opportunities
Alternate Stores CSI	Warehouse Infrastructure		In progress	Medium	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-11-16	2026-03-19		false					Medium Term (3-12 Months)	Understand ownership - accountability
Alternate stores BENE	Warehouse Infrastructure		Not started	Medium	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-11-16	2026-03-19		false					Medium Term (3-12 Months)	Utilisation slow/fast moving materials - Leadership visibility, Shut laydowns, Fencing opportunities
Segregation of Materials	Warehouse Infrastructure		In progress	Medium	Steve Valentine	Steve Valentine	2026-03-31	2026-11-16	2026-03-19		false					Medium Term (3-12 Months)	"Identify
  Non-Stock Materials in Warehouse - relocate to identfied area"
Staging Areas	Warehouse Infrastructure		In progress	Medium	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-11-17	2026-03-19		false					Medium Term (3-12 Months)	"Define
  dedicated inbound, outbound, quarantine and staging zones with clear signage,
  floor markings, and capacity limits."
Bin Location Standardisation	Warehouse Infrastructure		In progress	Important	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-06-30	2026-03-19		false			1/1	Transfer task to WH Planner to monitor progress	Short Term (0-3 Months)	"Review /
  Develop and rollout a standard bin naming convention across all Warehouses
  Wodgina, update WMS master data, and retrain staff on new location logic."
Racking / Container Review	Warehouse Infrastructure		In progress	Important	Steve Valentine;Joshua Carceller;Benjamin Chao	Steve Valentine	2026-03-31	2026-06-30	2026-03-19		false			0/3	Relocate PPE/Consumables from containers to Racking;Relocate LV asset work order materials to containers;Relocate Holding units - improve racking storage	Short Term (0-3 Months)	"Conduct
  racking audit, obtain quote for redesign racking layout to suit SKU profiles,
  improve vertical utilisation carry out staged implementation to minimise
  disruption."
Alternate Stores GAM	Warehouse Infrastructure		Not started	Medium	Steve Valentine;Joshua Carceller;Benjamin Chao	Benjamin Chao	2025-10-25	2027-06-30	2026-04-01		false			0/4	Count verification;Smalls consolidated in one area;Large consolidated in one area;Stock lines tagged correctly with WH owner and catalogue number.	Medium Term (3-12 Months)	Utilisation, Layout, Ownership - Currently under utilised, security concerns, accessibility constraints
